Key	"Experiment 1"	"Experiment 2"	"Experiment 3"	"Experiment 4"	"Experiment 5"	"Experiment 6"	"Experiment 7"	"Experiment 8"	"Experiment 9"	"Experiment 10"	"Experiment 11"	"Experiment 12"	"Experiment 13"	"Experiment 14"	"Experiment 15"	"Experiment 16"	"Experiment 17"	"Experiment 18"	"Experiment 19"	"Experiment 20"	"Experiment 21"	"Experiment 22"	"Experiment 23"	"Experiment 24"	"Experiment 25"	"Experiment 26"	"Experiment 27"	"Experiment 28"	"Experiment 29"	"Experiment 30"	"Experiment 31"	"Experiment 32"	"Experiment 33"	"Experiment 34"	"Experiment 35"	"Experiment 36"	"Experiment 37"	"Experiment 38"	"Experiment 39"	"Experiment 40"	"Experiment 41"	"Experiment 42"	"Experiment 43"	"Experiment 44"	"Experiment 45"	"Experiment 46"	"Experiment 47"	"Experiment 48"	"Experiment 49"	"Experiment 50"	"Experiment 51"	"Experiment 52"	"Experiment 53"	"Experiment 54"	"Experiment 55"	"Experiment 56"	"Experiment 57"	"Experiment 58"	"Experiment 59"	"Experiment 60"	"Experiment 61"	"Experiment 62"	"Experiment 63"	"Experiment 64"	"Experiment 65"	"Experiment 66"	"Experiment 67"	"Experiment 68"	"Experiment 69"	"Experiment 70"	"Experiment 71"	"Experiment 72"	"Experiment 73"	"Experiment 74"	"Experiment 75"	"Experiment 76"	"Experiment 77"	"Experiment 78"	"Experiment 79"	"Experiment 80"	"Experiment 81"	"Experiment 82"	"Experiment 83"	"Experiment 84"	"Experiment 85"	"Experiment 86"	"Experiment 87"	"Experiment 88"	"Experiment 89"	"Experiment 90"	"Experiment 91"	"Experiment 92"	"Experiment 93"	"Experiment 94"	"Experiment 95"	"Experiment 96"	"Experiment 97"	"Experiment 98"	"Experiment 99"	"Experiment 100"	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular location [CC]
aaaD	8.7403	8.8469	8.3556	9.0198	8.2195	8.5214	8.8665	8.9684	10.28	10.207	9.6653	9.4018	9.9822	9.5593	10.025	10.314	8.8058	9.216	8.8786	9.374	8.7961	8.6027	9.1494	9.6799	9.4734	9.8054	9.3825	9.572	9.5872	9.4818	9.7351	9.9104	9.8825	9.8388	10.074	9.8766	10.111	9.9237	9.6769	10.178	8.4325	8.8137	8.6792	9.0459	8.5924	8.5217	8.5352	8.7164	8.8901	9.1343	8.9131	8.6791	8.7762	8.7845	10.141	8.5288	8.7076	8.9782	8.9743	8.6927	8.4909	8.8959	8.5862	8.9517	8.7227	8.7613	8.9802	9.0819	8.5687	8.8032	8.9306	8.3246	8.1602	8.4776	8.7221	8.5315	9.0223	8.6632	8.5102	8.5842	8.9837	8.8833	8.8939	8.7003	10.067	9.8134	9.9516	9.3918	9.4991	9.3207	9.6911	9.8489	9.4097	9.4598	9.2216	9.6793	9.4675	9.8867	10.045	11.012				
aaeA	7.0589	7.1711	7.2008	7.1589	7.5049	7.4675	7.2379	7.2005	7.2297	7.1829	7.449	7.4464	7.3047	7.5369	7.4119	7.6157	6.9814	7.0507	7.156	7.0658	7.2135	7.1949	7.1441	7.1959	7.2561	7.4855	7.4671	7.5295	7.0548	7.1618	7.0146	7.2357	7.324	7.1425	7.3485	7.2607	7.4429	7.7246	7.5778	7.7529	7.1725	7.3588	7.3275	7.3767	7.2866	7.2824	7.1522	7.0884	7.2585	7.4357	7.241	7.2263	7.3194	7.2165	7.251	7.1954	7.3168	7.3683	7.2474	7.2744	7.2762	7.5282	7.3534	7.2551	7.2004	7.3192	7.2837	7.2785	7.1157	7.1603	7.2468	7.1813	7.4621	7.0632	7.4068	7.3475	7.1324	7.2157	7.3373	7.3213	7.2119	7.206	7.1513	7.185	7.2555	7.4717	7.1444	7.2543	7.2099	7.3204	7.0904	7.3994	7.2171	7.0814	7.244	7.2609	7.2706	7.3108	7.375	6.7935	carboxylic acid transport [GO:0046942]	integral component of membrane [GO:0016021]| plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01544}| Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01544}.
aaeB	7.4173	7.3986	7.1736	7.3191	7.5813	7.3047	7.6113	7.3595	7.9475	7.9144	7.5489	7.7997	7.6134	7.8531	7.7954	7.7181	7.1719	7.2559	7.1492	7.3923	7.3251	7.3897	7.4374	7.4898	7.4522	7.5799	7.4951	7.5262	7.5952	7.7033	7.5834	7.5042	7.6921	7.4809	7.7783	7.6414	7.6672	8.0217	7.7517	7.9059	7.15	7.3739	7.4816	7.3046	7.1392	7.1406	7.1002	7.1349	7.3122	7.425	7.1462	7.2458	7.2367	7.2551	7.3723	7.0885	7.1448	7.1407	7.3713	7.1898	7.1649	7.1725	7.256	7.1785	7.0441	7.3492	7.3023	7.3515	7.2234	7.2689	7.2914	7.1566	7.1891	7.1499	7.3749	7.3148	7.2227	7.3412	7.2701	7.2454	7.2395	7.3228	7.2942	7.9062	7.3415	7.5577	7.4225	7.5802	7.3571	7.4911	7.4655	7.4057	7.4278	7.4367	7.5142	7.2103	7.732	7.4449	7.4341	7.5374	carboxylic acid transport [GO:0046942]| transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]| plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane| Multi-pass membrane protein.
aaeR	8.0576	8.1918	8.0364	8.0045	8.5048	8.277	8.465	8.3984	7.8496	7.6872	7.9313	7.7064	8.022	8.0522	7.9305	8.0049	7.7522	7.9729	7.7523	7.8046	7.6915	7.8825	7.9494	8.0126	7.9686	7.4444	7.4286	7.5915	7.3934	7.5271	7.5063	7.3838	7.6277	7.3663	7.5509	7.4389	7.5199	7.7755	7.6294	7.6546	8.3483	8.2671	8.362	8.3602	8.3773	8.4397	8.2529	8.07	8.1709	8.2565	8.1877	8.249	8.0928	8.1849	8.025	8.5457	8.5253	8.3447	8.3656	8.4928	8.377	8.5643	8.5476	8.4467	8.418	8.2483	8.29	8.3991	8.1789	8.0434	8.1042	8.1977	8.3536	8.0629	8.3399	8.2949	8.3725	8.2472	8.3456	8.5171	8.122	8.168	8.1922	7.601	7.6623	7.5667	7.5846	7.6948	7.7186	7.8512	7.7622	7.7229	7.7898	7.6285	7.4006	7.3119	7.6809	7.3307	7.3603	7.5066	DNA-templated transcription, initiation [GO:0006352]| positive regulation of transcription, DNA-templated [GO:0045893]| regulation of transcription, DNA-templated [GO:0006355]| transcription, DNA-templated [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]| transcription regulatory region sequence-specific DNA binding [GO:0000976]	
aaeX	7.3382	7.3449	7.1555	7.1024	7.3574	7.4066	7.2973	7.1253	6.9725	7.1539	6.8478	6.5223	6.8957	6.9896	7.2709	7.5293	7.0975	6.9918	6.9908	7.0035	6.7935	7.0792	7.2312	7.2493	7.2383	7.3982	7.3175	7.3355	7.1725	7.1637	7.148	7.1256	7.3427	6.9016	7.4027	7.3037	7.644	7.8393	7.695	7.9768	7.0432	7.0702	6.9207	6.8466	6.8945	6.9435	6.8408	6.9159	6.9034	7.0282	7.151	6.9611	6.7511	6.842	6.7549	6.9112	7.1283	6.9449	7.1624	7.1074	6.9478	7.0549	6.9339	7.0693	7.1608	6.9535	6.9273	7.0708	6.9345	6.8339	6.8987	6.9556	6.9443	6.9248	6.947	6.8583	6.9557	6.89	6.9389	7.0289	6.9525	6.9988	6.9434	7.4167	7.1833	7.3744	7.5707	7.4668	7.2673	7.2288	7.2635	7.2405	7.2865	7.3745	7.6165	7.1936	6.991	7.4946	7.0109	6.9528		integral component of membrane [GO:0016021]| plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01546}| Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01546}.
aas	8.9674	8.82	8.8394	8.8963	9.0384	9.0632	9.577	9.4733	9.1953	9.1999	9.1657	9.3002	9.0099	9.1196	8.8182	9.1212	9.2366	9.0129	9.2762	9.4587	9.6053	9.5009	9.1225	9.1303	9.0564	8.7746	8.7053	8.8717	8.7745	8.9207	8.7791	8.6986	8.8274	8.6982	8.8145	8.4743	8.8816	8.6748	8.7917	8.8013	9.0734	9.075	9.285	9.0119	9.1232	9.144	8.8574	8.9111	9.0989	9.1304	9.0707	9.0413	9.3217	9.3092	9.3026	9.0192	9.0773	9.2096	9.1267	8.9519	8.8755	9.0659	9.0536	9.0565	8.9101	9.2376	9.1636	9.2379	9.0871	9.0145	9.0319	9.0934	9.2124	9.039	9.304	9.2438	9.2051	9.1783	9.3148	9.3312	9.0278	9.0552	9.0986	8.9671	8.9103	8.9556	9.2688	8.9818	9.0045	8.8513	8.937	8.9412	9.0232	9.0064	8.9551	8.8555	9.1497	8.8771	8.9965	9.0505	fatty acid metabolic process [GO:0006631]| phospholipid biosynthetic process [GO:0008654]	integral component of membrane [GO:0016021]| membrane [GO:0016020]| plasma membrane [GO:0005886]	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity [GO:0008779]| ATP binding [GO:0005524]| long-chain fatty acid [acyl-carrier-protein] ligase activity [GO:0008922]| long-chain fatty acid-CoA ligase activity [GO:0004467]	SUBCELLULAR LOCATION: Cell inner membrane| Multi-pass membrane protein.
aat	8.7275	8.9228	8.4823	8.7624	8.4134	8.3183	8.4104	8.4186	8.7375	8.4563	8.8195	8.7878	8.5476	8.6308	8.2966	8.595	8.7467	8.6181	8.8394	8.5376	8.5331	8.2687	9.1016	8.8591	8.6591	8.9036	8.7139	9.0981	8.5944	8.6597	8.6324	8.5315	8.4197	8.4476	8.6701	8.565	8.4885	8.2984	8.5637	8.6731	9.2723	9.3034	9.3479	9.4267	9.3986	9.3682	9.0776	9.0245	9.0174	9.4404	9.5582	9.5311	9.1444	9.2192	9.2748	9.4005	9.3768	9.3393	9.3899	9.3707	9.3159	9.3482	9.1003	9.4111	9.0962	8.9913	9.1571	9.2963	9.0393	9.0649	9.0557	9.0768	9.0075	9.0036	9.3106	9.1676	9.1862	9.3189	9.2003	9.3441	9.0771	9.1537	9.1702	8.3672	8.6785	8.7746	8.7676	8.5847	8.5679	8.7755	8.6776	8.5905	8.5212	8.597	8.3214	8.1751	8.678	8.1974	8.4102	8.9682	protein catabolic process [GO:0030163]	cytoplasm [GO:0005737]	leucyltransferase activity [GO:0008914]| transferase activity, transferring amino-acyl groups [GO:0016755]	SUBCELLULAR LOCATION: Cytoplasm.
abgA	6.2591	6.7156	6.4176	6.6005	6.5508	6.4399	7.4999	7.4124	8.7198	8.712	8.1386	7.7545	8.3342	8.544	8.3834	8.6857	8.1756	8.1066	8.2162	8.1514	8.0582	8.1415	8.4585	8.4037	8.1801	8.5637	8.5484	8.9803	8.5915	8.8472	8.7377	8.6551	8.5756	8.6541	8.9167	8.7386	8.5252	8.684	8.6332	8.6426	8.2649	8.5016	8.5253	8.4148	8.1032	8.2561	8.1331	8.0907	8.3129	8.4624	8.175	8.2792	8.2648	8.3155	8.5705	8.0332	8.1069	8.2531	8.3608	8.0677	8.2679	8.3621	8.2406	8.2922	8.0075	8.4744	8.4255	8.3124	8.2142	8.241	8.2168	8.1706	8.1569	8.09	8.3281	8.1949	8.2115	8.565	8.4575	8.3113	8.2486	8.3888	8.2844	8.4448	8.5198	8.8204	8.444	8.5221	8.6901	8.6173	8.5404	8.4756	8.5889	8.9259	8.3039	8.3724	8.7183	8.0978	8.4088	8.9106	folic acid catabolic process [GO:0046657]	cytoplasm [GO:0005737]	dipeptidase activity [GO:0016805]| para-aminobenzoyl-glutamate hydrolase activity [GO:0071713]| protein heterodimerization activity [GO:0046982]	
abgB	5.3568	5.948	5.594	5.7902	5.9431	5.5494	6.3974	6.4422	7.9315	7.8462	7.3717	6.9463	7.5198	7.631	7.6545	7.9165	7.4722	7.4083	7.645	7.632	7.4166	7.5987	7.7252	7.6608	7.3773	7.8937	7.7006	8.0024	7.7666	7.985	7.8408	7.6776	7.7999	7.7783	7.8657	7.9326	7.7081	7.6733	7.9304	7.8926	7.8057	7.9433	8.0172	7.677	7.4825	7.6811	7.5692	7.627	7.7184	7.9741	7.6148	7.7202	7.5573	7.6331	7.8052	7.4154	7.5291	7.6454	7.8592	7.6181	7.7262	7.7999	7.7998	7.6281	7.5711	7.9033	7.8066	7.8268	7.6237	7.6771	7.7938	7.7324	7.6803	7.549	7.685	7.615	7.587	7.9755	7.8987	7.7505	7.7259	7.8859	7.6662	7.954	8.0556	8.3435	7.852	7.8014	8.1138	8.0037	8.2615	7.8193	8.1248	8.3476	7.5826	7.7023	8.028	7.4692	8.0481	8.1532	folic acid catabolic process [GO:0046657]	cytoplasm [GO:0005737]	dipeptidase activity [GO:0016805]| para-aminobenzoyl-glutamate hydrolase activity [GO:0071713]| protein heterodimerization activity [GO:0046982]	
abgR	5.4472	5.7164	5.426	5.6067	5.6252	5.3856	6.2326	6.2815	7.5872	7.5729	7.2276	6.9218	7.3393	7.5506	7.3356	7.5121	7.1647	7.1717	7.323	7.2549	7.1623	7.3406	7.5006	7.4558	7.2637	7.4612	7.6444	7.5183	7.23	7.7225	7.3337	7.5251	7.1433	7.2842	7.4355	7.5459	7.5124	7.4424	7.3916	7.2941	7.738	7.8287	7.9477	7.5669	7.4845	7.624	7.633	7.495	7.6231	7.6751	7.6318	7.5651	7.5641	7.6095	7.6841	7.4686	7.5247	7.6641	7.7072	7.5029	7.6261	7.6903	7.8196	7.6729	7.4904	7.8087	7.6309	7.6099	7.6068	7.5926	7.6056	7.5257	7.488	7.3782	7.5879	7.5857	7.4951	7.9527	7.7873	7.7204	7.6048	7.6274	7.5627	7.6133	7.8139	7.9484	7.8767	7.6203	7.9971	7.9379	8.0777	7.7026	8.3853	8.3757	7.4826	7.6132	7.7626	7.4586	8.1314	7.9875	regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]| transcription regulatory region sequence-specific DNA binding [GO:0000976]	
